"Global cluster",Code,Sub-domain,Title,Description/Rationale,Denominator,Disaggregation,"General guidance","Guidance for pre-crisis/baseline","Guidance on phases","Indicator used for response monitoring?","Key indicator",Level,Numerator,"Phase applicability","Sector cross-tagging","Sectoral objective",Standards,"Strategic objective","Threshold / Standard",Types,"Unit Description","Unit of Measurement"
"Camp Coordination / Management",CM-08,"C2.1 CCCM Mechanisms","Number and percentage of displacement sites conducting IDP registration activities","Registration activities may be at the household or individual level with sex and age disaggregation. An estimiation of the displacement site population is important for creating distibution lists, tracking population movements, monitoring site programing, case management, and ensuring accurate representation of vulnerable populations.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; sex, age, disability, and other diversity concerns of registered IDPs","De-registration/departure should be monitored but not controlled in order to adequately calculate needs within the displacement site",,"New L3 Emergency - Phase 4",Yes,No,,"Number and percentage of displacement sites conducting population registration","Phase 4","C2 Population information management, (P) Protection, (R) Early Recovery",,"Camp Management Toolkit (Chapter 7)",,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-09,"C2.1 CCCM Mechanisms","Number and percentage of displacement sites where de-registration/ departure is monitored","De-registration/departure should be monitored but not controlled in order to adequately calculate needs within the displacement site and plan accordingly.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; sex, age, disability, and other diversity concerns of departed IDPs","De-registration/departure should be monitored but not controlled in order to adequately calculate needs within the displacement site",,"New L3 Emergency - Phase 4",Yes,No,,"Number of displacement sites where de-registration/ departure is monitored","Phase 4","C2 Population information management, (P) Protection, R4 Governance, S1 Shelter, S2 Shelter-related NFI, S3 Shelter-related Fuel/Energy",,"Camp Management Toolkit (Chapter 7)",,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-10,"C1.2 CCCM Mechanisms","Number and percentage of displacement sites that have a formal dispute resolution and/or complaint mechanism including PSEA",,"Overall number of displacement sites identified/estimated of the emergency","Displacement site; organization/ community presence in dispute resolution programmes has balanced representation according to age, sex, other diversity concerns; dispute mechanism users broken down by sex, age, other diversity concerns",,,"New L3 Emergency - Phase 4",Yes,No,,"Number of displacement sites with organization/ community presence with programmes in dispute resolutions","Phase 4","C1 Community engagement and self-empowerment, (P) Protection, (R) Early Recovery",,"Camp Management Toolkit (Chapter 2)",,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-11,"C1.2 CCCM Mechanisms","Number and percentage of displacement sites with representative governance structures","It is important that settlement governance structures be representative of the population groups. These governance structures should be elected and should ensure representation/participation from all strata of the population (women, elderly, cultural, etc.).","Overall number of displacement sites identified/estimated of the emergency","Displacement site; Site management committee; Site management committee with minority/vulnerable group representation; governance structures should be broken down by age, sex, other diversity concerns","Evidence of activities will come from a responsible reporting party, such as the site manager or government official responsible for the site. New emergencies will not have elected committeed.",,"New L3 Emergency -Phase 3-4",Yes,Yes,,"Number of displacement sites with represnentative governance structures (age, sex & diversity)","Phase 3, Phase 4","C1 Community engagement and self-empowerment, (P) Protection, R3 Capacity Building, R4 Governance",,"Camp Management Toolkit (Chapters 3, 11)",,,Outcome,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-12,"C3.3 CCCM Mechanisms","Number and Percentage of displacement sites with host community representation in governance structures","This indicator may not always be relevant in all displacement situations. The site and/or protection environment may determine its appropriateness.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; organization/ community presence  has balanced representation according to age, sex, disability, other diversity concerns",,,"New L3 Emergency -Phase 2-4",Yes,No,,"Number of displacement sites with host community representation in governamnce structures","Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, P5 Vulnerability, R4 Governance",,,,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-13,"C2 Population information management","Number and Percentage of displacement sites that regularly collect demographic information disaggregated by sex and age to an agreed reporting cycle",,"Overall number of displacement sites identified/estimated of the emergency","Displacement site; age; sex","Evidence of activities will come from a responsible reporting party, such as the site manager or government official responsible fo rthe site.",,"New L3 Emergency - Phase 4",Yes,Yes,,"Number of displacement sites that regularly collect demographic information disaggrgated by sex and age","Phase 4","C2 Population information management, E1.1 Equal Access, (F) Food Security, H1 General clinical services & essential trauma care, (N) Nutrition, P6 Displacement and Return, (R) Early Recovery, (S) Emergency Shelter and NFI, W7 Aggravating Factors",,"Camp Management Toolkit (Chapter 8)",,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-14,"C3.8 Access and Movement","Number and Percentage of displacement sites with restrictions on movement in and out of the displacement site","This indicator monitors restrictions on movement of displaced population for various reasons.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; Type of restriction (includes accessibility, national restrictions, security). NB: Accessibility may include logistics constraints, i.e. lack of roads, floods.","Freedom of movement means, for example, that camp residents do not need permits to come and go and are not physically confined in the camp.",,"New L3 Emergency - Phase 4",No,No,,"Percentage of displacement sites with restrictions on movement in and out of the displacement site","Phase 4","C3 Protection and services monitoring and coordination, (P) Protection, S2 Shelter-related NFI",,"Camp Management Toolkit (Chapter 8)",,,Outcome,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-15,"C3 Protection and services monitoring and coordination","Number and Percentage of displacement sites under threat of forced eviction.","The number of displacement sites under threat from forced eviction will provide information for advocacy against these, where necessary. This indicator may not always be relevant in all displacement situations. The site and/or protection environment may determine it's appropriateness.","Total number of displacement sites with threats of forced eviction","Displacement site,",,,"New L3 Emergency -Phase 1-4",No,No,,"Number of displacement sites with advocacy activities against threats of forced evictions","Phase 1,  Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, (P) Protection, (R) Early Recovery, S2 Shelter-related NFI, E1.1 Equal Access",,"Camp Management Toolkit (Chapters 2, 7, 8, 12)",,,Outcome,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-16,"C3.8 Access and Movement","Number and Percentage of displacement sites with restricted humanitarian access","This indicator monitors restrictions to humanitarian actors' access to displacement sites for various reasons but may include: insecurity, government limitations, infrastructure limitations or others.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; Type of restriction (includes accessibility, national restrictions, security). NB: Accessibility may include logistics constraints, i.e. lack of roads, floods.",,,"New L3 Emergency -  Phase 1-4",No,No,,"Number of displacement sites with restricted humanitarian access","Phase 1,  Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, (P) Protection, S2 Shelter-related NFI, F1 Food Assistance, F1.4 Livelihood Recovery, F8 Agriculture and Livestock",,,,,Outcome,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-17,"C3.4 Service Provision - Protection","Number and percentage of displacement sites where residents have access to law enforcement mechanisms","This indicator covers one aspect of protection in displacement sites. Law enforcement mechanisms, such as policing, civilian security patrols, access to courts and national justice systems, codes for dispute resolution, reporting mechanisms, and referral systems, contribute to a safer site environment by reducing the risk of protection incidents and providing a means to address them when they occur. Even when law enforcement mechanisms are in place, these may not be equally accessible to all members of the displaced population. Qualitative data should also be sought about who is represented in these structures (eg. youth, disabled, women, minority groups).","Overall number of displacement sites identified/estimated of the emergency","Displacement site; law enforcement mechanism; law enforcement structure representation and users should be broken down by age, sex,  disability, other diversity concerns",,,"New L3 Emergency - Phases 2-4",No,No,,"Number of displacement sites where residents have access to law enforcement mechanisms","Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, (P) Protection, (R) Early Recovery",,,,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-18,"C3.11 Service Provision - Shelter","Number and percentage of displacement sites where all IDPs have access to shelter","This indicator monitors whether people in a displacement site have access to shelter in each phase of an emergency. Where all IDPs do not have access to shelter, qualitative data should also be sought about who lacks access (eg. sex, age, ethnicity).","Overall number of displacement sites identified/estimated of the emergency","Displacement Site; shelter type; sex, age, other diversity concerns of IDPs who have access to shelter",,,"New L3 Emergency - Phases 2-4",Yes,No,,"Number of displacement sites where all IDPs have access to shelter","Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, P1 (PC) Child Protection, P2 (PG) Gender-Based Violence, P3 (PL) Housing Land and Property, P5 Vulnerability, R1 Economic Recovery and Livelihoods, R4 Governance, S2 Shelter-related NFI, W7 Aggravating Factors",,"Sphere: Shelter and settlement standard 1: Strategic planning",,,Outcome,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-19,"C3.9 Service Provision - WASH &/or Shelter","Number and Percentage of displacement sites with NFI needs, in which at least one NFI distribution has taken place in the last three months","This indicator monitors whether people in displacement sites with NFI needs are receiving distributions. This indicator is also a component of WASH and/or Shelter service provision.","Overall number of displacement sites identified/estimated of the emergency","Displacement site; sex, age, other diversity concerns of NFI recipients",,,"New L3 Emergency - Phases 3-4",Yes,No,,"Number of displacement sites with NFI needs that have received at least one NFI distribution","Phase 3, Phase 4","C3 Protection and services monitoring and coordination, H3 Communicable diseases, H4 Sexual and Reproductive Health, H4.2 Maternal and newborn care, H6 Environmental Health, P5 Vulnerability, S1 Shelter, W1.1 Hygiene items, W2.1 Access and Water Quantity, W2.2 Water Quality, W2.3 Water Facilities, W3.1 Environment, W3.2 Toilet Facilities, W4 Vector Control, W5 Solid Waste Management, W6 Drainage, E1.1 Equal Access, E1.2 Facilities and services",,"Camp Management Toolkit (Chapter 14), Sphere: Non-food items standard 1",,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-20,"C3.2 Service Provision - WASH","Number and percentage of displacement sites where IDP population has access to potable water supply within walking distance.","This indicator monitors whether IDP populations in displacement sites have access to potable water.","Overall number of displacement sites identified/estimated of the emergency","Displacement Site; Type of service; sex, age, other diversity concerns of those who have access to potable water",,,"New L3 Emergency -Phase 2-4",Yes,No,,"Number of displacement sites where IDP population has access to potable water supply within walking distance.","Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, H6 Environmental Health, (N) Nutrition, P5 Vulnerability, W2.1 Access and Water Quantity, W2.2 Water Quality, F1 Food Assistance, F7 Utilization, E1.2 Facilities and services",,"Sphere: Shelter and settlement standard 2, Sphere: Water supply standard 1: Access and water quantity",,,Outcome,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-21,"C3.2 Service Provision - WASH","Number and percentage of displacement sites where IDP population has access to WASH infrastructure.","This indicator monitors whether IDP populations in displacement sites have access to WASH infrastructure. A displacement site must have sex separated lockable latrines, solid waste disposal, bathing faciliities, and drainage in order to answer yes to this question.","Overall number of displacement sites identified/estimated of the emergency","Displacement Site; Type of service; sex, age, other diversity concerns of those who have access to WASH infrastructure",,,"New L3 Emergency -Phase 2-4",Yes,No,,"Number of displacement sites where IDP population has access to WASH infrastructure.","Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, (R) Early Recovery, W2.3 Water Facilities, W3.1 Environment, W3.2 Toilet Facilities, W4 Vector Control, W5 Solid Waste Management, W6 Drainage, W7 Aggravating Factors",,"Sphere WASH chapter",,,Outcome,"Number and Percentage",
"Camp Coordination / Management",CM-22,"C3.5 Service Provision - Food and Nutrition","Number and percentage of displacement sites with food/nutrition needs where at least one food distribution has taken place within the past month","This indicator monitors whether IDP populations in displacement sites with food needs have access to food distributions.","Overall number of displacement sites identified/estimated of the emergency","Displacement Site; Type of service; sex, age, other diversity concerns of food/nutrition recipients",,,"New L3 Emergency -Phase 2-4",Yes,No,,"Number of displacement sites with food/nutrition needs where at least one food distribution has taken place within the past month","Phase 2, Phase 3, Phase 4","C3 Protection and services monitoring and coordination, F1 Food Assistance, F3 Food Access, (N) Nutrition, P5 Vulnerability, E1.2 Facilities and services",,"Sphere: Food security - food transfers standard 5: Targeting and distribution",,,Output,"Number and Percentage","Displacement sites"
"Camp Coordination / Management",CM-23,"C3.10 Service Provision - Health","Number and percentage of displacement sites that have functioning health services within walking distance that IDP populations can attend","This indicator monitors whether IDP populations in displacement sites have access to basic health services. Health services include health clinics and moblie health teams. Even if functioning, health services may not be equally accessible to all members of the displaced population (eg. because of disability, sex, and related security concerns). Qualitative data should be sought on who is able/unable to access health services.","Overall number of displacement sites identified/estimated of the emergency","Displacement Site; Type of service; age, sex, other diversity concerns of those who have access to health services",,,"New L3 Emergency - Phases 3-4",Yes,No,,"Number of displacement sites that have functioning health services within walking distance that IDP populations can attend","Phase 3, Phase 4","C3 Protection and services monitoring and coordination, H1 General clinical services & essential trauma care, H2 Child health, H3 Communicable diseases, H4 Sexual and Reproductive Health, H5 Non communicable diseases and mental health, H6 Environmental Health, P1 (PC) Child Protection, P2 (PG) Gender-Based Violence",,"Sphere: Health systems standard 1: Health service delivery",,,Outcome,"Number and Percentage","Displacement sites"
